,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ovalle,0,CL,1568500139,52,-30.6,-71.2,58.17,7.87
1,Albany,75,US,1568500017,77,42.65,-73.75,69.01,9.17
2,Fomboni,0,KM,1568500139,73,-12.28,43.74,77.79,6.11
3,Chuy,77,UY,1568500139,87,-33.69,-53.46,56.37,12.39
4,Puerto Ayora,75,EC,1568500140,60,-0.74,-90.35,75.2,6.93
5,Butaritari,0,KI,1568500140,65,3.07,172.79,83.73,3.02
6,Punta Arenas,75,CL,1568500140,81,-53.16,-70.91,42.8,9.17
7,Yellowknife,75,CA,1568500140,72,62.45,-114.38,59.0,2.24
8,Rikitea,0,PF,1568500141,67,-23.12,-134.97,69.87,11.41
9,Vaini,25,IN,1568500141,94,15.34,74.49,73.83,1.34
10,Hermanus,60,ZA,1568500141,68,-34.42,19.24,54.0,1.01
11,Fortuna,90,US,1568500141,68,40.6,-124.16,68.0,17.22
12,Maniitsoq,8,GL,1568500141,76,65.42,-52.9,38.73,17.92
13,Provideniya,85,RU,1568500142,75,64.42,-173.23,44.49,4.03
14,Ushuaia,75,AR,1568500142,93,-54.81,-68.31,39.2,3.36
15,Bilma,0,NE,1568500142,17,18.69,12.92,95.61,9.33
16,Cape Town,0,ZA,1568500142,71,-33.93,18.42,57.99,6.93
17,Dekar,0,BW,1568500143,14,-21.53,21.93,68.43,7.52
18,East London,58,ZA,1568500143,80,-33.02,27.91,53.67,7.61
19,Aguilas,94,ES,1568500143,60,37.41,-1.58,73.99,1.01
20,Cidreira,100,BR,1568500144,83,-30.17,-50.22,63.21,21.61
21,Hue,20,VN,1568500144,94,16.47,107.58,77.0,2.24
22,Emerald,0,AU,1568500144,24,-23.53,148.16,68.0,4.7
23,Vilhena,19,BR,1568500144,45,-12.74,-60.15,87.8,5.82
24,Mecca,58,SA,1568499918,43,21.43,39.83,83.37,3.83
25,Komsomolskiy,100,RU,1568500145,89,67.55,63.78,40.35,11.86
26,Cangucu,90,BR,1568500145,82,-31.39,-52.68,64.4,13.87
27,Port Elizabeth,75,US,1568500145,69,39.31,-74.98,79.0,5.82
28,Kisangani,44,CD,1568500146,81,0.52,25.21,74.37,1.61
29,Mahebourg,75,MU,1568500146,83,-20.41,57.7,69.8,6.93
30,Tocopilla,66,CL,1568500146,86,-22.09,-70.2,57.45,17.45
31,Otane,67,NZ,1568500146,66,-39.89,176.62,55.0,11.01
32,Leh,0,IN,1568500147,39,34.16,77.58,41.43,7.76
33,Tasiilaq,100,GL,1568500147,47,65.61,-37.64,37.4,8.05
34,Hithadhoo,84,MV,1568500147,75,-0.6,73.08,83.37,12.95
35,Ribeira Grande,100,PT,1568500147,68,38.52,-28.7,71.49,0.6
36,Vanavara,78,RU,1568500148,97,60.35,102.28,29.55,7.16
37,Kirovskiy,0,RU,1568500148,94,45.09,133.51,48.09,3.69
38,Mataura,73,NZ,1568500148,78,-46.19,168.86,48.99,5.99
39,Margate,20,AU,1568500089,22,-43.03,147.26,59.0,19.46
40,Bluff,0,AU,1568500149,36,-23.58,149.07,60.87,5.5
41,Thinadhoo,69,MV,1568500149,77,0.53,72.93,83.37,12.08
42,Nikolskoye,40,RU,1568500149,81,59.7,30.79,46.4,8.95
43,Sturgis,90,CA,1568500149,52,51.94,-102.54,68.43,9.82
44,Coihaique,90,CL,1568500106,86,-45.58,-72.07,39.2,4.7
45,Nanortalik,67,GL,1568500145,81,60.14,-45.24,39.99,10.8
46,Bredasdorp,60,ZA,1568500150,93,-34.53,20.04,48.2,1.74
