,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arkhangelsk,75,RU,1568652847,87,64.54,40.54,46.4,2.24
1,Banjar,100,ID,1568652848,91,-7.37,108.54,71.95,1.68
2,Rikitea,0,PF,1568652848,69,-23.12,-134.97,67.99,20.07
3,Mar del Plata,99,AR,1568652848,32,-46.43,-67.52,58.09,30.24
4,Mataura,97,NZ,1568652848,88,-46.19,168.86,39.99,7.0
5,Busselton,2,AU,1568652849,70,-33.64,115.35,55.0,8.48
6,Bonfim,13,GY,1568652849,42,3.36,-59.84,94.45,4.38
7,Mahebourg,40,MU,1568652849,83,-20.41,57.7,71.6,3.36
8,Punta Arenas,75,CL,1568652849,70,-53.16,-70.91,48.2,21.92
9,Hobart,14,AU,1568652790,69,-42.88,147.33,41.0,10.29
10,Saskylakh,100,RU,1568652850,98,71.97,114.09,35.59,5.84
11,Bluff,0,AU,1568652850,78,-23.58,149.07,55.03,4.68
12,Gat,75,SN,1568652850,83,14.69,-16.54,75.2,26.4
13,Taoudenni,0,ML,1568652851,8,22.68,-3.98,108.67,18.3
14,Fortuna,40,US,1568652851,100,40.6,-124.16,63.0,4.7
15,Hithadhoo,100,MV,1568652851,71,-0.6,73.08,82.93,5.35
16,Chhindwara,77,IN,1568652851,97,22.06,78.94,72.49,9.71
17,Kostomuksha,99,RU,1568652851,94,64.59,30.6,43.51,5.73
18,Buala,13,SB,1568652852,84,-8.15,159.59,78.97,10.51
19,Pangoa,26,PE,1568652852,35,-12.12,-73.0,93.37,5.7
20,Souris,75,CA,1568652852,87,46.36,-62.25,60.01,10.29
21,Bambous Virieux,40,MU,1568652853,83,-20.34,57.76,71.6,3.36
22,Los Llanos de Aridane,75,ES,1568652853,78,28.66,-17.92,75.2,9.17
23,Plyussa,58,RU,1568652853,94,58.42,29.37,47.29,8.84
24,Jalu,0,LY,1568652854,31,29.03,21.55,80.59,8.68
25,Kapaa,75,US,1568652854,78,22.08,-159.32,82.4,10.29
26,Dikson,100,RU,1568652854,86,73.51,80.55,37.03,19.53
27,Hermanus,0,ZA,1568652855,86,-34.42,19.24,64.99,10.22
28,Faanui,80,PF,1568652855,80,-16.48,-151.75,77.17,17.05
29,Atuona,0,PF,1568652855,72,-9.8,-139.03,79.15,13.33
30,Ushuaia,75,AR,1568652855,86,-54.81,-68.31,39.2,1.61
31,Egvekinot,100,RU,1568652856,86,66.32,-179.17,35.05,6.46
32,Aklavik,90,CA,1568652856,75,68.22,-135.01,42.8,9.17
33,Nome,75,US,1568652856,52,30.04,-94.42,90.0,10.29
34,Varginha,40,BR,1568652857,21,-21.56,-45.43,89.77,6.02
35,Luena,89,AO,1568652857,29,-11.78,19.91,74.65,2.57
36,Coquimbo,75,CL,1568652857,71,-29.95,-71.34,55.4,9.17
37,Rawson,65,AR,1568652857,31,-43.3,-65.11,59.35,28.57
38,Kununurra,55,AU,1568652858,77,-15.77,128.74,68.0,1.12
39,Vaini,62,IN,1568652858,96,15.34,74.49,75.55,2.98
40,Port Alfred,1,ZA,1568652858,89,-33.59,26.89,66.99,3.0
41,Saint-Agapit,90,CA,1568652858,67,46.56,-71.44,64.0,6.93
42,Muncar,96,ID,1568652859,94,-8.43,114.34,69.79,1.66
43,Belmonte,96,PT,1568652859,77,40.36,-7.35,82.0,1.43
44,Padang,98,ID,1568652859,73,-0.92,100.36,78.61,7.49
45,Chicama,75,PE,1568652859,77,-7.84,-79.15,64.4,11.41
46,Paris,0,FR,1568652704,44,48.86,2.35,80.01,6.93
47,Arraial do Cabo,0,BR,1568652860,74,-22.97,-42.02,82.4,25.28
48,Jamestown,0,AU,1568652860,72,-33.21,138.6,37.93,12.17
49,Vestmannaeyjar,40,IS,1568652860,81,63.44,-20.27,46.4,18.34
50,Leningradskiy,58,RU,1568652861,84,69.38,178.42,39.73,19.6
51,San Patricio,4,PY,1568652861,23,-26.98,-56.83,101.47,9.4
52,Tongren,85,CN,1568652861,85,27.72,109.18,68.53,3.18
53,Claveria,96,PH,1568652861,81,8.61,124.89,77.0,7.0
54,Albany,40,US,1568652713,52,42.65,-73.75,70.0,9.17
55,Celestun,92,MX,1568652862,76,20.87,-90.4,83.11,12.21
56,Hilo,90,US,1568652862,69,19.71,-155.08,73.99,6.93
57,Khatanga,36,RU,1568652862,87,71.98,102.47,30.19,6.02
58,Santa Maria,0,BR,1568652863,22,-16.02,-48.01,89.6,11.41
59,Barrow,0,AR,1568652863,33,-38.31,-60.23,58.99,13.73
60,East London,20,ZA,1568652863,88,-33.02,27.91,66.2,6.93
61,Puerto Narino,40,CO,1568652863,66,-3.77,-70.38,89.6,5.82
62,Camocim,40,BR,1568652863,52,-2.9,-40.84,91.4,18.34
63,Saint-Philippe,1,CA,1568652864,49,45.36,-73.48,68.0,5.82
64,Saint George,0,GR,1568652864,50,39.45,22.34,82.4,6.93
65,Castro,40,CL,1568652864,66,-42.48,-73.76,50.0,9.17
66,Guerrero Negro,0,MX,1568652865,74,27.97,-114.04,73.03,8.03
67,Karratha,0,AU,1568652865,67,-20.74,116.85,66.73,9.71
68,Sinnamary,7,GF,1568652865,81,5.38,-52.96,82.39,18.63
69,Tiksi,80,RU,1568652866,90,71.64,128.87,32.89,4.41
70,Victoria,75,BN,1568652866,83,5.28,115.24,80.6,1.12
71,Sinegorye,0,RU,1568652866,87,62.09,150.53,32.53,1.97
72,Bredasdorp,0,ZA,1568652867,63,-34.53,20.04,66.2,8.05
73,Riyadh,0,SA,1568652575,18,24.63,46.72,96.8,3.36
74,Yellowknife,75,CA,1568652867,81,62.45,-114.38,46.4,9.17
75,Avarua,68,CK,1568652770,78,-21.21,-159.78,73.4,11.41
76,Iqaluit,40,CA,1568652868,69,63.75,-68.52,39.2,5.82
77,San Jose,40,HN,1568652868,58,14.25,-87.96,82.4,9.17
78,Havoysund,75,NO,1568652868,75,71.0,24.66,44.6,18.34
79,Birao,100,CF,1568652869,83,10.3,22.78,76.63,7.36
80,Murray Bridge,0,AU,1568652869,83,-35.12,139.28,46.0,3.71
81,Airai,98,TL,1568652869,88,-8.93,125.41,67.81,3.27
82,Machiques,21,VE,1568652870,89,10.06,-72.55,67.81,1.79
83,Nyzhni Sirohozy,0,UA,1568652870,55,46.85,34.38,64.57,9.86
84,Morondava,7,MG,1568652870,74,-20.3,44.28,77.17,22.79
85,Cidreira,48,BR,1568652870,69,-30.17,-50.22,74.83,11.68
86,Iskateley,93,RU,1568652871,94,67.68,53.15,44.23,10.87
87,Suhbaatar,100,MN,1568652871,83,50.23,106.21,37.39,1.95
88,Cherskiy,91,RU,1568652871,70,68.75,161.3,43.69,0.74
89,San Matias,4,BO,1568652871,11,-16.36,-58.4,110.11,9.6
90,Kodiak,40,US,1568652872,66,39.95,-94.76,88.0,9.17
91,Cordoba,100,AR,1568652872,31,-27.78,-67.24,60.79,11.97
92,Chokurdakh,81,RU,1568652872,84,70.62,147.9,41.35,4.16
93,Pangnirtung,20,CA,1568652872,64,66.15,-65.72,39.2,4.7
94,Katsuura,20,JP,1568652873,69,33.93,134.5,75.2,6.93
95,Ilulissat,75,GL,1568652873,93,69.22,-51.1,35.6,2.24
96,Anadyr,75,RU,1568652873,75,64.73,177.51,42.8,8.95
97,Namatanai,34,PG,1568652873,86,-3.66,152.44,77.17,8.14
98,Lethem,13,GY,1568652874,42,3.38,-59.8,94.45,4.38
99,Qaanaaq,0,GL,1568652874,45,77.48,-69.36,24.43,5.44
100,Lasa,20,CY,1568652874,65,34.92,32.53,80.6,11.41
101,Nizhnevartovsk,0,RU,1568652874,71,60.93,76.58,57.2,8.95
102,Esso,39,RU,1568652875,73,55.93,158.7,31.27,2.71
